textgrid.file	word.idx.in.tg	word.ortho	word.ipa	word.start.in.tg	word.end.in.tg	phone.idx.in.wd	phone.ipa	phone.start.in.tg	phone.end.in.tg	postprobframe.idx.in.phone	postprobframe.start.in.tg	postprobframe.end.in.tg	phoneme.postprob	spread_glottis.actual	spread_glottis.postprob
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	8	1.06	1.07	aː	0	0.11954331
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	9	1.07	1.08	aː	0	0.19593398
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	10	1.08	1.09	aː	0	0.28696102
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	11	1.09	1.1	aː	0	0.37854514
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	12	1.1	1.11	aː	0	0.46937063
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	13	1.11	1.12	ɾ	0	0.61994964
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	0	1.12	1.1300000000000001	ɾ	0	0.7375135
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	1	1.1300000000000001	1.1400000000000001	ph	0	0.758211
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	2	1.1400000000000001	1.1500000000000001	ph	0	0.92170066
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	3	1.1500000000000001	1.1600000000000001	ph	0	0.95506173
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	4	1.16	1.17	ph	0	0.97452784
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	5	1.17	1.18	ph	0	0.9783222
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	6	1.18	1.19	ph	0	0.9750019
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	7	1.19	1.2	ph	0	0.9536497
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	8	1.2	1.21	s	0	0.6175024
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	9	1.21	1.22	s	0	0.551112
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	10	1.22	1.23	s	0	0.59253836
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	0	1.23	1.24	s	0	0.6341082
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	1	1.24	1.25	s	0	0.48284137
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	2	1.25	1.26	s	0	0.26121587
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	3	1.26	1.27	b	0	0.15748782
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	4	1.27	1.28	b	0	0.13409764
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	5	1.28	1.29	b	0	0.22524644
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	6	1.29	1.3	b	0	0.2521501
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	7	1.3	1.31	b	0	0.22038065
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	8	1.31	1.32	b	0	0.18896912
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	9	1.32	1.33	b	0	0.08975758
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	0	1.33	1.34	aː	0	0.024076538
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	1	1.34	1.35	aː	0	0.012202356
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	2	1.35	1.36	aː	0	0.014298551
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	3	1.36	1.37	aː	0	0.013378126
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	4	1.37	1.3800000000000001	aː	0	0.013132378
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	5	1.3800000000000001	1.3900000000000001	aː	0	0.014949348
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	6	1.3900000000000001	1.4000000000000001	aː	0	0.014175785
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	7	1.4000000000000001	1.4100000000000001	aː	0	0.008017142
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	8	1.41	1.42	aː	0	0.0049161334
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	1	aː	1.33	1.43	9	1.42	1.43	aː	0	0.0065820036
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	0	1.43	1.44	n	0	0.01777596
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	1	1.44	1.45	n	0	0.056898244
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	2	1.45	1.46	n	0	0.03074137
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	3	1.46	1.47	n	0	0.016384227
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	4	1.47	1.48	n	0	0.010247073
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	5	1.48	1.49	n	0	0.006337354
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	2	m	1.43	1.5	6	1.49	1.5	n	0	0.005834911
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	3	ə	1.5	1.51	0	1.5	1.51	n	0	0.006596624
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	0	1.51	1.52	u	0	0.013295377
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	1	1.52	1.53	u	0	0.021971818
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	2	1.53	1.54	u	0	0.031165492
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	3	1.54	1.55	u	0	0.028965013
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	4	1.55	1.56	u	0	0.016297035
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	5	1.56	1.57	u	0	0.030711567
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	6	1.57	1.58	ɱ	0	0.04875911
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	4	n	1.51	1.59	7	1.58	1.59	ɱ	0	0.13051103
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	0	1.59	1.6	ɱ	0	0.26648152
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	1	1.6	1.61	ɱ	0	0.27811024
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	2	1.61	1.62	j	0	0.15377335
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	3	1.62	1.6300000000000001	j	0	0.12657419
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	4	1.6300000000000001	1.6400000000000001	j	0	0.046834312
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	5	1.6400000000000001	1.6500000000000001	j	0	0.029721191
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	6	1.6500000000000001	1.6600000000000001	j	0	0.020188492
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	7	1.6600000000000001	1.6700000000000002	j	0	0.009860386
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	8	1.67	1.68	aː	0	0.009401082
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	9	1.68	1.69	aː	0	0.01202669
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	10	1.69	1.7	aː	0	0.012767839
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	5	aː	1.59	1.71	11	1.7	1.71	aː	0	0.018834991
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	0	1.71	1.72	l	0	0.021495534
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	1	1.72	1.73	l	0	0.046509326
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	2	1.73	1.74	l	0	0.060241185
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	3	1.74	1.75	l	0	0.07107484
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	4	1.75	1.76	l	0	0.071348965
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	5	1.76	1.77	l	0	0.11299087
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	0	l	1.71	1.78	6	1.77	1.78	l	0	0.10577657
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	0	1.78	1.79	l	0	0.09501535
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	1	1.79	1.8	j	0	0.15185574
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	2	1.8	1.81	j	0	0.19615868
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	3	1.81	1.82	j	0	0.15950203
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	4	1.82	1.83	j	0	0.15945162
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	5	1.83	1.84	j	0	0.15430073
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	6	1.84	1.85	j	0	0.11695159
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	7	1.85	1.86	ə	0	0.066541135
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	1	o	1.78	1.87	8	1.86	1.87	ə	0	0.048469473
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	0	1.87	1.8800000000000001	k	0	0.017477134
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	1	1.8800000000000001	1.8900000000000001	k	0	0.012228143
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	2	1.8900000000000001	1.9000000000000001	k	0	0.009893761
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	3	1.9000000000000001	1.9100000000000001	k	0	0.00825688
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	4	1.9100000000000001	1.9200000000000002	k	0	0.0069824047
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	5	1.92	1.93	k	0	0.006411718
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	6	1.93	1.94	k	0	0.0040841675
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	7	1.94	1.95	k	0	0.0055773887
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	8	1.95	1.96	k	0	0.009474833
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	2	k	1.87	1.97	9	1.96	1.97	k	0	0.02190462
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	0	1.97	1.98	k	0	0.12314796
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	1	1.98	1.99	ə	0	0.120234385
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	2	1.99	2.0	ə	0	0.22165215
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	3	2.0	2.01	ɳ	0	0.18230815
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	4	2.0100000000000002	2.02	ɳ	0	0.07986236
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	5	2.02	2.03	ɳ	0	0.036806785
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	6	2.0300000000000002	2.04	ɳ	0	0.036299698
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	7	2.04	2.05	j	0	0.051790737
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	8	2.05	2.0599999999999996	j	0	0.030226117
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	3	o	1.97	2.07	9	2.06	2.07	j	0	0.02999415
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	0	2.07	2.0799999999999996	j	0	0.025250763
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	1	2.08	2.09	j	0	0.020615196
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	2	2.09	2.0999999999999996	j	0	0.019735057
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	3	2.1	2.11	j	0	0.016108466
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	4	2.11	2.1199999999999997	j	0	0.022377772
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	5	2.12	2.13	j	0	0.03418046
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	6	2.13	2.1399999999999997	j	0	0.034104556
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	4	n	2.07	2.15	7	2.14	2.15	j	0	0.033157706
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	0	2.15	2.1599999999999997	j	0	0.01969573
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	1	2.16	2.17	j	0	0.010684333
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	2	2.17	2.1799999999999997	j	0	0.014034817
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	3	2.18	2.19	j	0	0.02344812
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	4	2.19	2.1999999999999997	j	0	0.024573853
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	5	2.2	2.21	j	0	0.023200912
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	6	2.21	2.2199999999999998	ɭ	0	0.017653987
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	7	2.22	2.23	ɭ	0	0.009530801
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	8	2.23	2.2399999999999998	ɭ	0	0.0033343357
guf_09152_00540916881.TextGrid	3	લોકોનો	l o k o n o	1.71	2.25	5	o	2.15	2.25	9	2.24	2.25	l	0	0.0022768835
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	0	2.25	2.26	l	0	0.004844233
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	1	2.2600000000000002	2.27	l	0	0.014667981
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	2	2.27	2.28	l	0	0.020536026
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	3	2.2800000000000002	2.29	l	0	0.025474003
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	4	2.29	2.3	l	0	0.029549224
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	5	2.3000000000000003	2.31	l	0	0.028184434
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	6	2.31	2.32	l	0	0.015417472
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	7	2.32	2.3299999999999996	l	0	0.008121074
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	8	2.33	2.34	l	0	0.0046626236
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	9	2.34	2.3499999999999996	l	0	0.011691197
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	0	m	2.25	2.36	10	2.35	2.36	l	0	0.047763582
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	0	2.36	2.3699999999999997	l	0	0.04204867
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	1	2.37	2.38	o	0	0.05353562
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	2	2.38	2.3899999999999997	o	0	0.12229282
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	3	2.39	2.4	o	0	0.33190542
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	4	2.4	2.4099999999999997	o	0	0.103954874
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	5	2.41	2.42	o	0	0.06354779
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	6	2.42	2.4299999999999997	o	0	0.16713014
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	1	u	2.36	2.44	7	2.43	2.44	p	0	0.34424764
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	0	2.44	2.4499999999999997	p	1	0.5606201
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	1	2.45	2.46	p	1	0.7537597
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	2	2.46	2.4699999999999998	p	1	0.8678029
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	3	2.47	2.48	p	1	0.7111253
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	4	2.48	2.4899999999999998	p	1	0.58185893
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	5	2.49	2.5	k	1	0.581535
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	6	2.5	2.51	k	1	0.71766955
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	7	2.5100000000000002	2.52	k	1	0.7560551
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	8	2.52	2.53	t	1	0.7605155
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	9	2.5300000000000002	2.54	t	1	0.77248716
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	10	2.54	2.55	t	1	0.84593093
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	11	2.5500000000000003	2.56	s	1	0.83433104
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	12	2.56	2.57	s	1	0.77903074
guf_09152_00540916881.TextGrid	4	મુખ્ય	m u kh j	2.25	2.66	2	kh	2.44	2.58	13	2.57	2.5799999999999996	s	1	0.79818976
